Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,9880,8896,10,49684.867188,0.000201
2,1000,0.1,0.2,50.0,1000,2036,1825,10,50413.421875,0.000198
3,1000,0.1,0.2,50.0,1000,2015,1834,10,49984.503906,0.000200
4,1000,0.1,0.2,50.0,1000,6003,5394,10,50175.359375,0.000199
5,1000,0.1,0.2,50.0,1000,1983,1795,10,49125.121094,0.000204
6,1000,0.1,0.2,50.0,1000,2085,1884,10,51791.625000,0.000193
7,1000,0.1,0.2,50.0,1000,2058,1836,10,50931.648438,0.000196
8,1000,0.1,0.2,50.0,1000,1970,1795,10,48831.460938,0.000205
9,1000,0.1,0.2,50.0,1000,1962,1759,10,48529.308594,0.000206
10,1000,0.1,0.2,50.0,1000,1958,1754,10,48568.531250,0.000206
