Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,5040,4038,7,49765.046875,0.000141
2,1000,0.2,0.2,50.0,1000,5122,4103,1,49910.933594,0.000020
3,1000,0.2,0.2,50.0,1000,5183,4142,3,51375.441406,0.000058
4,1000,0.2,0.2,50.0,1000,4924,3911,4,48027.894531,0.000083
5,1000,0.2,0.2,50.0,1000,5222,4189,1,50501.703125,0.000020
6,1000,0.2,0.2,50.0,1000,5264,4241,2,50822.593750,0.000039
7,1000,0.2,0.2,50.0,1000,5110,4107,7,50473.597656,0.000139
8,1000,0.2,0.2,50.0,1000,5251,4223,1,50588.925781,0.000020
9,1000,0.2,0.2,50.0,1000,4970,3965,2,50108.167969,0.000040
10,1000,0.2,0.2,50.0,1000,4929,3960,2,48005.468750,0.000042
