Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,19288,8775,10,48495.277344,0.000206
2,1000,0.2,0.2,50.0,1000,2535,2016,10,50152.882812,0.000199
3,1000,0.2,0.2,50.0,1000,19065,8740,10,48019.574219,0.000208
4,1000,0.2,0.2,50.0,1000,2619,2103,10,52049.136719,0.000192
5,1000,0.2,0.2,50.0,1000,2545,2079,10,50521.292969,0.000198
6,1000,0.2,0.2,50.0,1000,22288,9068,10,49906.992188,0.000200
7,1000,0.2,0.2,50.0,1000,22598,9065,10,50504.687500,0.000198
8,1000,0.2,0.2,50.0,1000,2558,2060,10,50848.015625,0.000197
9,1000,0.2,0.2,50.0,1000,2477,1975,10,49214.308594,0.000203
10,1000,0.2,0.2,50.0,1000,2493,1990,10,49313.531250,0.000203
